text,label
"సరళమైన, వెర్రి మరియు దుర్భరమైన.",neg
"ఇది చాలా లాడిష్ మరియు బాల్య, టీనేజ్ కుర్రాళ్ళు మాత్రమే దీనిని ఫన్నీగా చూడవచ్చు.",neg
దోపిడీ మరియు ఎక్కువగా లోతు లేదా అధునాతనత లేని నేరాలకు సంబంధించిన గ్రాఫిక్ చికిత్సను చూడటం భరించదగినది.,neg
"[గార్బస్] రోగలక్షణ అధ్యయనం యొక్క సామర్థ్యాన్ని విస్మరిస్తుంది, బదులుగా వెలికితీస్తుంది, సందర్భోచిత పరిస్థితి యొక్క వక్రీకృత శ్రావ్యత.",neg
దృశ్యపరంగా మెరిసే కానీ కథనం ప్రకారం అపారదర్శక మరియు భావోద్వేగపరంగా స్టైల్ మరియు మిస్టిఫికేషన్లో వ్యాయామం.,neg
"కథ వారు వచ్చినంత అశాస్త్రీయమైనది, ఇప్పటికే నేను లెక్కించటానికి ఇష్టపడే దానికంటే ఎక్కువ సార్లు రీసైకిల్ చేయబడ్డాను.",neg
చలనచిత్ర పాయింట్లను ఇవ్వడానికి ఉన్న ఏకైక విషయం ఏమిటంటే - పూర్తిగా పాత భావనను తీసుకొని ప్రేక్షకుల మాంసం గ్రైండర్ ద్వారా మరోసారి నెట్టడం.,neg
పుల్లని అంత వ్యంగ్యం కాదు.,neg
దురదృష్టవశాత్తు కథ మరియు నటీనటులకు హాక్ స్క్రిప్ట్‌తో వడ్డిస్తారు.,neg
"సీరియల్ హత్యలకు సాపేక్షంగా గోరే లేని సూచనల కోసం మరింత నిరాశపరిచింది, కానీ దాని విషయాన్ని మానవీకరించే ప్రయత్నాలలో అది పడిపోతుంది.",neg
ఎప్పుడూ రింగ్ చేయని సెంటిమెంట్ గజిబిజి.,neg
"ప్రదర్శనలు తరచూ ఆకర్షణీయంగా ఉన్నప్పటికీ, ఎక్కువగా మెరుగుపరచబడిన సంఖ్యల యొక్క ఈ వదులుగా ఉండే సేకరణ బహుశా ఒక గంట టీవీ డాక్యుమెంటరీగా బాగా పనిచేసేది.",neg
